Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0638178597484663,-7.24734008648691E-06,0.2215005582657,0,0,0,13.4575990474881,0.0749328452865162,-3.34691918883614E-07,-7.21976014961377E-06,0.208344462052985,2.91737092245682E-06,0.255209316885901,0,0,0,0,0,0,package://AMMR/meshes/base_link.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://AMMR/meshes/base_link.STL,,AMMR_Base-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_Drive_wheel_Link,-7.63278329429795E-17,-1.11022302462516E-16,-0.00236500745899665,0,0,0,3.39203243164232,0.0243089316503053,1.60800968207563E-18,3.26375472339224E-16,0.0243089316503053,-7.7401651668733E-17,0.047247796608228,0,0,0,0,0,0,package://AMMR/meshes/Right_Drive_wheel_Link.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://AMMR/meshes/Right_Drive_wheel_Link.STL,,AMMR_Wheel-1,rightwheel,Drive_wheels_Axis,Right_Drive_wheel_Joint,continuous,-0.0399999999999189,-0.205599999999989,0.0451499976997314,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
Left_Drive_wheel_Link,6.93889390390723E-18,-8.32667268468867E-17,0.00236500745899662,0,0,0,3.39203243164232,0.0243089316503053,4.85437810349641E-19,2.48098582544798E-16,0.0243089316503053,1.31831110354224E-16,0.047247796608228,0,0,0,0,0,0,package://AMMR/meshes/Left_Drive_wheel_Link.STL,0.109803921568627,0.109803921568627,0.109803921568627,1,0,0,0,0,0,0,package://AMMR/meshes/Left_Drive_wheel_Link.STL,,AMMR_Wheel-2,leftwheel,Drive_wheels_Axis,Left_Drive_wheel_Joint,continuous,-0.0400000000000798,0.205599999999988,0.045149997699734,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
Manipulator_J1_Link,-0.00821912518927564,0.00204815917950716,0.0530925004865024,0,0,0,2.59329608264777,0.00541011353910455,-0.000216772139965237,0.000471798412674179,0.00495712301252238,0.000104473121389477,0.00758603560467172,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J1_Link.STL,0.898039215686275,0.913725490196078,0.925490196078431,1,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J1_Link.STL,,FinalAssemb_L1J2_V1-1,Joint1,J1_Axis,Manipulator_J1_Joint,revolute,0.219999999999998,0,0.542999997699728,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Manipulator_J2_Link,0.268007694289762,1.46819887106298E-05,0.0129207836678231,0,0,0,3.28133642199679,0.00454471795558157,-2.23147098638011E-05,-0.00137080766306488,0.0606976765403595,2.92238591315652E-06,0.0621935957971754,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J2_Link.STL,0.105882352941176,0.105882352941176,0.105882352941176,1,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J2_Link.STL,,FinalAssemb_L2J3_V1-1,Joint2,J2_Axis,Manipulator_J2_Joint,revolute,-0.0400000000000001,-0.108,0.0800000000000004,1.5707963267949,-1.5707963267949,0,Manipulator_J1_Link,0,0,1,0,0,0,0,,,,,,,,
Manipulator_J3_Link,0.00014034205643132,0.0440525028885528,-0.0578749054823926,0,0,0,1.38170624978669,0.00263174058686681,-4.5321398764385E-06,-8.52933391138061E-07,0.00214482782657671,-0.000422611906677292,0.00299245933707587,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J3_Link.STL,,FinalAssemb_L3J4_V1-1,Joint3,J3_Axis,Manipulator_J3_Joint,revolute,0.499999824561943,0,-0.0421,0,0,0,Manipulator_J2_Link,0,0,1,0,0,0,0,,,,,,,,
Manipulator_J4_Link,0.000757867605260309,-0.00230470053236008,-0.167080789067498,0,0,0,2.30789517300308,0.00545812897609848,-1.77166808163763E-06,-1.81332816884373E-06,0.00617064954688975,4.72262432095123E-05,0.00237671238950573,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J4_Link.STL,0,0,0,1,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J4_Link.STL,,FinalAssemb_L4J5_V1-1,Joint4,J4_Axis,Manipulator_J4_Joint,revolute,0,-0.0504999999999998,-0.065,-1.5707963267949,0,0,Manipulator_J3_Link,0,0,1,0,0,0,0,,,,,,,,
Manipulator_J5_Link,0.00101719551785973,0.000162011629914138,0.0475034712246007,0,0,0,0.656515332445086,0.000548812323732704,1.47501401739925E-06,5.29856422926262E-07,0.000687393677149892,1.33696209379453E-06,0.000489604296478664,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J5_Link.STL,1,0,0,1,0,0,0,0,0,0,package://AMMR/meshes/Manipulator_J5_Link.STL,,FinalAssemb_L5J6_V1-1,Joint5,J5_Axis,Manipulator_J5,revolute,0.000799999999991807,0.0474999999999999,-0.3693,1.5707963267949,1.5707963267949,0,Manipulator_J4_Link,0,0,-1,0,0,0,0,,,,,,,,
Caster_frontright_Link,-0.0122909479371563,0.0325242164146823,-2.69390506797973E-05,0,0,0,0.111608045817562,4.75864898068099E-05,1.61941943522179E-06,3.91878885089351E-10,5.65023298002223E-05,-6.24847969157307E-09,6.48109553875577E-05,0,0,0,0,0,0,package://AMMR/meshes/Caster_frontright_Link.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://AMMR/meshes/Caster_frontright_Link.STL,,AMMR_Caster wheels-2,Frontrightcaster,Caster_front_Axis,Caster_frontright_Link,fixed,0.446999999999999,-0.261999999544999,-0.083350001810004,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
Caster_frontleft_Link,-0.0122909478469858,0.0325242161156536,-2.69391310157019E-05,0,0,0,0.111608046232635,4.75864901264927E-05,1.61941948382726E-06,3.91999887235058E-10,5.65023300764558E-05,-6.2487680010785E-09,6.48109557119836E-05,0,0,0,0,0,0,package://AMMR/meshes/Caster_frontleft_Link.STL,0.8,0.807843137254902,0.8,1,0,0,0,0,0,0,package://AMMR/meshes/Caster_frontleft_Link.STL,,AMMR_Caster wheels-4,Frontleftcaster,Caster_front_Axis,Caster_frontleft_Joint,fixed,0.447000000000001,0.262000000455002,-0.0833500023002717,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
